id,city_id,name,marker,coordinates,cable_id
magachgil-yap-federated-states-of-micronesia,16966,"Magachgil, Yap, Federated States of Micronesia",measle_white,"<Point><coordinates>138.061488,9.443926</coordinates></Point>",1823
ngeremlengui-palau,7822,"Ngeremlengui, Palau",measle_white,"<Point><coordinates>134.560953,7.531744</coordinates></Point>",1823
san-fernando-city-philippines,9389,"San Fernando City, Philippines",measle_white,"<Point><coordinates>120.311277,16.618898</coordinates></Point>",1858
aurora-philippines,16965,"Aurora, Philippines",measle_white,"<Point><coordinates>121.769260,16.077370,0</coordinates></Point>",1858
el-segundo-california-united-states,4096,"El Segundo, California, United States",measle_white,"<Point><coordinates>-118.415953,33.919915</coordinates></Point>",1858
sangano-angola,10727,"Sangano, Angola",measle_white,"<Point><coordinates>13.201441,-9.490074</coordinates></Point>",1560
aden-yemen,5969,"Aden, Yemen",measle_white,"<Point><coordinates>45.033530,12.800687,0</coordinates></Point>",1307
djibouti-city-djibouti,4177,"Djibouti City, Djibouti",measle_white,"<Point><coordinates>43.147984,11.594682</coordinates></Point>",1923
djibouti-city-djibouti,4177,"Djibouti City, Djibouti",measle_white,"<Point><coordinates>43.147984,11.594682</coordinates></Point>",1307
bp-clair-ridge-united-kingdom,16809,"BP Clair Ridge, United Kingdom",measle_white,"<Point><coordinates>-2.294927,60.441045</coordinates></Point>",1576
baie-longue-saintmartin,16758,"Baie Longue, SaintMartin",measle_white,"<Point><coordinates>-63.145703,18.059657</coordinates></Point>",1245
philipsburg-sint-maarten,10783,"Philipsburg, Sint Maarten",measle_white,"<Point><coordinates>-63.045825,18.030201</coordinates></Point>",1245
mamoudzou-mayotte,9134,"Mamoudzou, Mayotte",measle_white,"<Point><coordinates>45.233286,-12.783309</coordinates></Point>",1872
perth-australia,3239,"Perth, Australia",measle_white,"<Point><coordinates>115.857227,-31.953442</coordinates></Point>",1818
sydney-australia,3030,"Sydney, Australia",measle_white,"<Point><coordinates>151.206990,-33.869872,0</coordinates></Point>",1818
port-moresby-papua-new-guinea,3925,"Port Moresby, Papua New Guinea",measle_white,"<Point><coordinates>147.188510,-9.479600,0</coordinates></Point>",1898
kikori-papua-new-guinea,16730,"Kikori, Papua New Guinea",measle_white,"<Point><coordinates>144.240196,-7.413512</coordinates></Point>",1898
sisimiut-greenland,16720,"Sisimiut, Greenland",measle_white,"<Point><coordinates>-53.673381,66.939467</coordinates></Point>",1897
maniitsoq-greenland,16719,"Maniitsoq, Greenland",measle_white,"<Point><coordinates>-52.905718,65.407681</coordinates></Point>",1897
aasiaat-greenland,16718,"Aasiaat, Greenland",measle_white,"<Point><coordinates>-52.859111,68.706971</coordinates></Point>",1897
singapore-singapore,3029,"Singapore, Singapore",measle_white,"<Point><coordinates>103.853106,1.293881</coordinates></Point>",1895
dumai-indonesia,7311,"Dumai, Indonesia",measle_white,"<Point><coordinates>101.447639,1.665609</coordinates></Point>",1895
batam-indonesia,5862,"Batam, Indonesia",measle_white,"<Point><coordinates>103.962506,1.134726</coordinates></Point>",1895
jakarta-indonesia,3012,"Jakarta, Indonesia",measle_white,"<Point><coordinates>106.827861,-6.171594</coordinates></Point>",1744
jakarta-indonesia,3012,"Jakarta, Indonesia",measle_white,"<Point><coordinates>106.827861,-6.171594</coordinates></Point>",1895
bali-indonesia,9595,"Bali, Indonesia",measle_white,"<Point><coordinates>115.596973,-8.464415</coordinates></Point>",1895
waingapu-indonesia,14652,"Waingapu, Indonesia",measle_white,"<Point><coordinates>120.252903,-9.646104</coordinates></Point>",1938
seba-indonesia,16684,"Seba, Indonesia",measle_white,"<Point><coordinates>121.879904,-10.457822</coordinates></Point>",1938
baa-indonesia,17096,"Baa, Indonesia",measle_white,"<Point><coordinates>123.035275,-10.733335</coordinates></Point>",1938
kupang-indonesia,14653,"Kupang, Indonesia",measle_white,"<Point><coordinates>123.583322,-10.183335</coordinates></Point>",1938
kokar-indonesia,17097,"Kokar, Indonesia",measle_white,"<Point><coordinates>124.453463,-8.158312</coordinates></Point>",1938
tiakur-indonesia,16683,"Tiakur, Indonesia",measle_white,"<Point><coordinates>125.573726,-8.282921</coordinates></Point>",1938
serwaru-indonesia,17098,"Serwaru, Indonesia",measle_white,"<Point><coordinates>127.691498,-8.158116</coordinates></Point>",1938
suemlaki-indonesia,17099,"Suemlaki, Indonesia",measle_white,"<Point><coordinates>131.213054,-8.052233</coordinates></Point>",1938
tual-indonesia,16632,"Tual, Indonesia",measle_white,"<Point><coordinates>132.752092,-5.626575</coordinates></Point>",1938
kep-aru-indonesia,16681,"Kep. Aru, Indonesia",measle_white,"<Point><coordinates>134.550186,-6.194641</coordinates></Point>",1938
timika-indonesia,16575,"Timika, Indonesia",measle_white,"<Point><coordinates>136.889565,-4.550306</coordinates></Point>",1938
agats-indonesia,16672,"Agats, Indonesia",measle_white,"<Point><coordinates>138.121352,-5.535632</coordinates></Point>",1938
kota-mappi-indonesia,17100,"Kota Mappi, Indonesia",measle_white,"<Point><coordinates>139.396498,-7.102453</coordinates></Point>",1938
nabire-indonesia,16665,"Nabire, Indonesia",measle_white,"<Point><coordinates>135.501626,-3.372230,0</coordinates></Point>",1938
yapen-indonesia,16660,"Yapen, Indonesia",measle_white,"<Point><coordinates>136.156973,-1.756117</coordinates></Point>",1938
supiori-indonesia,16659,"Supiori, Indonesia",measle_white,"<Point><coordinates>135.638516,-0.729507</coordinates></Point>",1938
manokwari-indonesia,16630,"Manokwari, Indonesia",measle_white,"<Point><coordinates>134.062052,-0.861465</coordinates></Point>",1938
teluk-indonesia,17101,"Teluk, Indonesia",measle_white,"<Point><coordinates>133.482145,-2.202382</coordinates></Point>",1938
natuna-indonesia,16642,"Natuna, Indonesia",measle_white,"<Point><coordinates>108.142875,3.945662</coordinates></Point>",1939
batam-indonesia,5862,"Batam, Indonesia",measle_white,"<Point><coordinates>103.962506,1.134726</coordinates></Point>",1939
lingga-indonesia,16645,"Lingga, Indonesia",measle_white,"<Point><coordinates>104.635455,-0.162759</coordinates></Point>",1939
singkawang-indonesia,17091,"Singkawang, Indonesia",measle_white,"<Point><coordinates>108.987210,0.906015,0</coordinates></Point>",1939
terempa-indonesia,16635,"Terempa, Indonesia",measle_white,"<Point><coordinates>106.211137,3.207137</coordinates></Point>",1939
makassar-indonesia,9720,"Makassar, Indonesia",measle_white,"<Point><coordinates>119.412401,-5.152185</coordinates></Point>",1895
balikpapan-indonesia,9716,"Balikpapan, Indonesia",measle_white,"<Point><coordinates>116.831201,-1.265371</coordinates></Point>",1895
tarakan-indonesia,16618,"Tarakan, Indonesia",measle_white,"<Point><coordinates>117.578515,3.327352</coordinates></Point>",1895
manado-indonesia,15115,"Manado, Indonesia",measle_white,"<Point><coordinates>124.839620,1.490829,0</coordinates></Point>",1895
madura-indonesia,16717,"Madura, Indonesia",measle_white,"<Point><coordinates>113.283473,-6.902282</coordinates></Point>",1895
mtunzini-south-africa,5942,"Mtunzini, South Africa",measle_white,"<Point><coordinates>31.757853,-28.950440,0</coordinates></Point>",1878
jeddah-saudi-arabia,4361,"Jeddah, Saudi Arabia",measle_white,"<Point><coordinates>39.182873,21.481542</coordinates></Point>",1878
zafarana-egypt,9486,"Zafarana, Egypt",measle_white,"<Point><coordinates>32.649893,29.116658</coordinates></Point>",1878
karachi-pakistan,3259,"Karachi, Pakistan",measle_white,"<Point><coordinates>67.028539,24.889683</coordinates></Point>",1923
karachi-pakistan,3259,"Karachi, Pakistan",measle_white,"<Point><coordinates>67.028539,24.889683</coordinates></Point>",1878
antsiranana-madagascar,13489,"Antsiranana, Madagascar",measle_white,"<Point><coordinates>49.292170,-12.275253,0</coordinates></Point>",1878
terre-rouge-mauritius,9400,"Terre Rouge, Mauritius",measle_white,"<Point><coordinates>57.510086,-20.077813</coordinates></Point>",1878
port-sudan-sudan,5950,"Port Sudan, Sudan",measle_white,"<Point><coordinates>37.219691,19.615552</coordinates></Point>",1878
mombasa-kenya,5896,"Mombasa, Kenya",measle_white,"<Point><coordinates>39.672839,-4.053016</coordinates></Point>",1923
mombasa-kenya,5896,"Mombasa, Kenya",measle_white,"<Point><coordinates>39.672839,-4.053016</coordinates></Point>",1878
hanko-finland,7694,"Hanko, Finland",measle_white,"<Point><coordinates>22.968221,59.823211</coordinates></Point>",1710
hanko-finland,7694,"Hanko, Finland",measle_white,"<Point><coordinates>22.968221,59.823211</coordinates></Point>",1816
bomba-belize,16711,"Bomba, Belize",measle_white,"<Point><coordinates>-88.294458,17.925611</coordinates></Point>",1893
san-pedro-belize,16710,"San Pedro, Belize",measle_white,"<Point><coordinates>-87.978345,17.911036</coordinates></Point>",1893
kiamsam-malaysia,16695,"Kiamsam, Malaysia",measle_white,"<Point><coordinates>115.168946,5.255329</coordinates></Point>",1891
so-mateus-brazil,5506,"São Mateus, Brazil",measle_white,"<Point><coordinates>-39.859130,-18.716705,0</coordinates></Point>",1888
porto-seguro-brazil,5493,"Porto Seguro, Brazil",measle_white,"<Point><coordinates>-39.064697,-16.451081</coordinates></Point>",1888
ilhus-brazil,4590,"Ilhéus, Brazil",measle_white,"<Point><coordinates>-39.047704,-14.787972</coordinates></Point>",1888
salvador-brazil,3342,"Salvador, Brazil",measle_white,"<Point><coordinates>-38.504541,-12.969979</coordinates></Point>",1888
aracaj-brazil,3356,"Aracajú, Brazil",measle_white,"<Point><coordinates>-37.074805,-10.909604</coordinates></Point>",1888
macei-brazil,3344,"Maceió, Brazil",measle_white,"<Point><coordinates>-35.734962,-9.666465</coordinates></Point>",1888
recife-brazil,3352,"Recife, Brazil",measle_white,"<Point><coordinates>-34.871974,-8.055333</coordinates></Point>",1929
recife-brazil,3352,"Recife, Brazil",measle_white,"<Point><coordinates>-34.871974,-8.055333</coordinates></Point>",1888
joo-pessoa-brazil,3351,"João Pessoa, Brazil",measle_white,"<Point><coordinates>-34.861037,-7.115295</coordinates></Point>",1888
natal-brazil,3354,"Natal, Brazil",measle_white,"<Point><coordinates>-35.211183,-5.794836</coordinates></Point>",1888
rio-de-janeiro-brazil,3242,"Rio de Janeiro, Brazil",measle_white,"<Point><coordinates>-43.209568,-22.903397</coordinates></Point>",1888
vitria-brazil,3343,"Vitória, Brazil",measle_white,"<Point><coordinates>-40.301659,-20.294024</coordinates></Point>",1888
maca-brazil,3387,"Macaé, Brazil",measle_white,"<Point><coordinates>-41.785643,-22.371806</coordinates></Point>",1888
sitio-brazil,16689,"Sitio, Brazil",measle_white,"<Point><coordinates>-37.570508,-11.846664</coordinates></Point>",1888
atafona-brazil,16690,"Atafona, Brazil",measle_white,"<Point><coordinates>-41.027245,-21.631157</coordinates></Point>",1888
thinadhoo-maldives,16505,"Thinadhoo, Maldives",measle_white,"<Point><coordinates>72.997677,0.531088</coordinates></Point>",1868
kolhufushi-maldives,16506,"Kolhufushi, Maldives",measle_white,"<Point><coordinates>73.424630,2.776766,0</coordinates></Point>",1868
oranjestad-bay-bonaire-sint-eustatius-and-saba,16283,"Oranjestad Bay, Bonaire, Sint Eustatius and Saba",measle_white,"<Point><coordinates>-62.987036,17.481849</coordinates></Point>",1807
fort-bay-bonaire-sint-eustatius-and-saba,16282,"Fort Bay, Bonaire, Sint Eustatius and Saba",measle_white,"<Point><coordinates>-63.251636,17.616493</coordinates></Point>",1807
great-bay-beach-saint-martin,16123,"Great Bay Beach, Saint Martin",measle_white,"<Point><coordinates>-63.055054,18.024452</coordinates></Point>",1807
terempa-indonesia,16635,"Terempa, Indonesia",measle_white,"<Point><coordinates>106.211137,3.207137</coordinates></Point>",1886
penarik-indonesia,16634,"Penarik, Indonesia",measle_white,"<Point><coordinates>108.290238,3.666756</coordinates></Point>",1886
jayapura-indonesia,16627,"Jayapura, Indonesia",measle_white,"<Point><coordinates>140.669104,-2.591566</coordinates></Point>",1885
