OBS_DATE,NZDI_INDICATOR,VAL
2007-06-29,SMDA,2.15
2007-06-29,SPI,1.48
2007-06-30,NZDI,1.07
2007-06-30,PED,0.17
2007-06-30,SMD,0.56
2007-06-30,SMDA,2.07
2007-06-30,SPI,1.47
2007-07-01,NZDI,1.05
2007-07-01,PED,0.22
2007-07-01,SMD,0.53
2007-07-01,SMDA,2.01
2007-07-01,SPI,1.45
2007-07-02,NZDI,0.96
2007-07-02,PED,0.19
2007-07-02,SMD,0.46
2007-07-02,SMDA,1.77
2007-07-02,SPI,1.44
2007-07-03,NZDI,0.93
2007-07-03,PED,0.17
2007-07-03,SMD,0.44
2007-07-03,SMDA,1.69
2007-07-03,SPI,1.42
2007-07-04,NZDI,0.95
2007-07-04,PED,0.13
2007-07-04,SMD,0.47
2007-07-04,SMDA,1.79
2007-07-04,SPI,1.4
2007-07-05,NZDI,0.92
2007-07-05,PED,0.13
2007-07-05,SMD,0.45
2007-07-05,SMDA,1.72
2007-07-05,SPI,1.39
2007-07-06,NZDI,0.89
2007-07-06,PED,0.13
2007-07-06,SMD,0.42
2007-07-06,SMDA,1.62
2007-07-06,SPI,1.37
2007-07-07,NZDI,0.86
2007-07-07,PED,0.13
2007-07-07,SMD,0.4
2007-07-07,SMDA,1.55
2007-07-07,SPI,1.35
2007-07-08,NZDI,0.83
2007-07-08,PED,0.13
2007-07-08,SMD,0.38
2007-07-08,SMDA,1.46
2007-07-08,SPI,1.34
2007-07-09,NZDI,0.74
2007-07-09,PED,0.13
2007-07-09,SMD,0.32
2007-07-09,SMDA,1.21
2007-07-09,SPI,1.32
2007-07-10,NZDI,0.77
2007-07-10,PED,0.13
2007-07-10,SMD,0.34
2007-07-10,SMDA,1.32
2007-07-10,SPI,1.3
2007-07-11,NZDI,0.74
2007-07-11,PED,0.13
2007-07-11,SMD,0.32
2007-07-11,SMDA,1.23
2007-07-11,SPI,1.27
2007-07-12,NZDI,0.69
2007-07-12,PED,0.13
2007-07-12,SMD,0.3
2007-07-12,SMDA,1.12
2007-07-12,SPI,1.21
2007-07-13,NZDI,0.65
2007-07-13,PED,0.13
2007-07-13,SMD,0.28
2007-07-13,SMDA,1.04
2007-07-13,SPI,1.17
2007-07-14,NZDI,0.62
2007-07-14,PED,0.13
2007-07-14,SMD,0.26
2007-07-14,SMDA,0.99
2007-07-14,SPI,1.11
2007-07-15,NZDI,0.58
2007-07-15,PED,0.13
2007-07-15,SMD,0.24
2007-07-15,SMDA,0.91
2007-07-15,SPI,1.06
2007-07-16,NZDI,0.55
2007-07-16,PED,0.13
2007-07-16,SMD,0.23
2007-07-16,SMDA,0.84
2007-07-16,SPI,1
2007-07-17,NZDI,0.52
2007-07-17,PED,0.13
2007-07-17,SMD,0.21
2007-07-17,SMDA,0.77
2007-07-17,SPI,0.95
