"au_code","au_name","Maori_2001","Maori_2006","Maori_2013","Total_2001","Total_2006","Total_2013","per_01","per_06","per_13"
515201,"Herne Bay",27,24,24,2841,2823,2760,0.00950369588173178,0.00850159404888417,0.00869565217391304
515202,"St Marys",36,33,36,2145,2484,2928,0.0167832167832168,0.0132850241545894,0.0122950819672131
515301,"Ponsonby West",57,51,54,2397,2403,2445,0.0237797246558198,0.0212234706616729,0.0220858895705521
515302,"Ponsonby East",72,54,63,3300,3246,3318,0.0218181818181818,0.0166358595194085,0.0189873417721519
515410,"Grey Lynn West",117,111,108,3303,3294,3453,0.0354223433242507,0.0336976320582878,0.0312771503040834
515420,"Grey Lynn East",114,87,60,3135,3204,3249,0.0363636363636364,0.0271535580524345,0.0184672206832872
515431,"Surrey Crescent",141,99,72,2667,2673,2754,0.0528683914510686,0.037037037037037,0.0261437908496732
515432,"St Lukes North",27,27,21,678,729,801,0.0398230088495575,0.037037037037037,0.0262172284644195
515500,"Arch Hill",45,39,33,1248,1227,1569,0.0360576923076923,0.0317848410757946,0.0210325047801147
515600,"Eden Terrace",12,33,63,1413,1962,2571,0.00849256900212314,0.0168195718654434,0.0245040840140023
515700,"Epsom North",45,36,30,3321,3465,3618,0.013550135501355,0.0103896103896104,0.00829187396351575
515801,"Epsom Central",21,24,15,3270,3585,3783,0.00642201834862385,0.00669456066945607,0.00396510705789056
515802,"Epsom South",21,9,24,3252,3483,3642,0.00645756457564576,0.00258397932816537,0.00658978583196046
515901,"Parnell East",15,12,9,2076,2166,2331,0.00722543352601156,0.00554016620498615,0.00386100386100386
515902,"Parnell West",48,39,48,3981,4353,4767,0.0120572720422005,0.00895933838731909,0.0100692259282568
516001,"Mt Hobson",18,18,12,1269,1350,1380,0.0141843971631206,0.0133333333333333,0.00869565217391304
516002,"Remuera South",21,9,12,3417,3714,3900,0.00614574187884109,0.0024232633279483,0.00307692307692308
516003,"Abbotts Park",36,36,36,3840,4128,4317,0.009375,0.00872093023255814,0.00833912439193885
516101,"Remuera West",15,30,21,2904,3255,3351,0.00516528925619835,0.00921658986175115,0.0062667860340197
